Year,Position,Amateur Team,Games,Points,Goalie Wins,Score,Amateur League
2019,Goalie,HV71 Jr. (Sweden Jr.),1.0,0.0,0.0,1.0,J20 Nationell
2019,Defence,Tri-City Storm (USHL),15.0,4.0,,19.0,USHL
2019,Forward,Spokane Chiefs (WHL),3.0,1.0,,4.0,WHL
2019,Forward,Metallurg Magnitogorsk (Russia),2.0,0.0,,2.0,KHL
2019,Forward,Mississauga Steelheads (OHL),3.0,0.0,,3.0,OHL
2019,Forward,Prince Albert Raiders (WHL),33.0,9.0,,42.0,WHL
2019,Forward,Orebro HK (Sweden),1.0,0.0,,1.0,SHL
2019,Defence,Moncton Wildcats (QMJHL),24.0,8.0,,32.0,QMJHL
2019,Forward,Providence (H-East),9.0,1.0,,10.0,NCAA
2019,Forward,Dubuque Fighting Saints (USHL),23.0,6.0,,29.0,USHL
2019,Forward,Chicago Steel (USHL),9.0,1.0,,10.0,USHL
2019,Forward,Calgary Hitmen (WHL),16.0,4.0,,20.0,WHL
2019,Defence,Jokerit Jr. (Finland Jr.),9.0,2.0,,11.0,SM-liiga
2019,Forward,Rouyn-Noranda Huskies (QMJHL),4.0,1.0,,5.0,QMJHL
2019,Forward,HPK (Finland),1.0,1.0,,2.0,SM-liiga
2018,Defence,Frolunda HC (Sweden),277.0,160.0,,437.0,SHL
2018,Forward,Barrie Colts (OHL),283.0,209.0,,492.0,OHL
2018,Forward,Assat (Finland),237.0,91.0,,328.0,SM-liiga
2018,Forward,Boston University (H-East),277.0,192.0,,469.0,NCAA
2018,Forward,Soo Greyhounds (OHL),94.0,31.0,,125.0,OHL
2018,Forward,Halifax Mooseheads (QMJHL),160.0,61.0,,221.0,QMJHL
2018,Defence,Michigan (Big Ten),205.0,165.0,,370.0,NCAA
2018,Defence,Brynas IF Jr. (Sweden Jr.),128.0,51.0,,179.0,J20 Nationell
2018,Forward,Traktor Chelyabinsk (Russia),20.0,4.0,,24.0,KHL
2018,Defence,London Knights (OHL),102.0,49.0,,151.0,OHL
2018,Forward,USNDT (USA),126.0,45.0,,171.0,USDP
2018,Defence,Acadie-Bathurst Titan (QMJHL),160.0,72.0,,232.0,QMJHL
2018,Forward,Flint Firebirds (OHL),27.0,5.0,,32.0,OHL
2018,Forward,USNDT (USA),170.0,93.0,,263.0,USDP
2018,Forward,Loko Yaroslavl (Russia Jr.),8.0,4.0,,12.0,MHL
2018,Forward,HC Dynamo Pardubice (Czech),20.0,3.0,,23.0,Tipsport Extraliga
2018,Defence,Spokane Chiefs (WHL),114.0,43.0,,157.0,WHL
2018,Forward,London Knights (OHL),27.0,5.0,,32.0,OHL
2018,Forward,Karpat (Finland),64.0,14.0,,78.0,SM-liiga
2018,Defence,Guelph Storm (OHL),39.0,6.0,,45.0,OHL
2018,Defence,USNDT (USA),135.0,32.0,,167.0,USDP
2018,Forward,Lulea HF (Sweden),151.0,44.0,,195.0,SHL
2018,Defence,Okotoks (AJHL),13.0,1.0,,14.0,AJHL
2018,Defence,Drummondville Voltigeurs (QMJHL),22.0,6.0,,28.0,QMJHL
2018,Defence,Lulea HF (Sweden),25.0,4.0,,29.0,SHL
2018,Defence,Soo Greyhounds (OHL),88.0,28.0,,116.0,OHL
2018,Forward,Drummondville Voltigeurs (QMJHL),71.0,16.0,,87.0,QMJHL
2018,Defence,Red Deer Rebels (WHL),1.0,0.0,,1.0,WHL
2018,Defence,USNDT (USA),54.0,12.0,,66.0,USDP
2018,Forward,Espoo United (Finland-2),15.0,5.0,,20.0,SM-liiga
2018,Defence,Krasnaya Armiya Moskva (Russia Jr.),133.0,19.0,,152.0,MHL
2018,Forward,Mississauga Steelheads (OHL),81.0,22.0,,103.0,OHL
2018,Forward,Waterloo Black Hawks (USHL),2.0,2.0,,4.0,USHL
2018,Defence,Minnesota-Duluth (NCHC),19.0,6.0,,25.0,NCAA
2018,Defence,IK Oskarshamn (Sweden-2),85.0,18.0,,103.0,Allsvenskan
2018,Defence,Owen Sound Attack (OHL),64.0,27.0,,91.0,OHL
2018,Defence,Lethbridge Hurricanes (WHL),18.0,4.0,,22.0,WHL
2018,Forward,Halifax Mooseheads (QMJHL),18.0,3.0,,21.0,QMJHL
2018,Defence,Ottawa 67's (OHL),24.0,6.0,,30.0,OHL
2018,Forward,Timra IK (Sweden-2),1.0,0.0,,1.0,Allsvenskan
2018,Forward,Baie-Comeau Drakkar (QMJHL),10.0,1.0,,11.0,QMJHL
2018,Forward,HV71 (Sweden),28.0,1.0,,29.0,SHL
2018,Forward,Toronto (OJHL),10.0,3.0,,13.0,
2018,Goalie,Karpat Jr. (Finland Jr.),2.0,1.0,1.0,3.0,SM-liiga
2018,Forward,HC Benatky nad Jizerou (Czech-2),15.0,5.0,,20.0,Tipsport Extraliga
2018,Forward,Guelph Storm (OHL),1.0,0.0,,1.0,OHL
2018,Defence,London Knights (OHL),18.0,1.0,,19.0,OHL
2018,Defence,Kimball Union Academy (High-NH),10.0,1.0,,11.0,High School
2018,Forward,Sioux City Musketeers (USHL),10.0,0.0,,10.0,USHL
2018,Goalie,SK Horacka Slavia Trebic (Czech-2),4.0,0.0,1.0,4.0,Tipsport Extraliga
2018,Defence,Barrie Colts (OHL),2.0,0.0,,2.0,OHL
2018,Forward,Cedar Rapids RoughRiders (USHL),10.0,4.0,,14.0,USHL
2018,Forward,Everett Silvertips (WHL),35.0,6.0,,41.0,WHL
2018,Forward,Wenatchee (BCHL),50.0,11.0,,61.0,BCHL
2018,Goalie,Swift Current Broncos (WHL),2.0,1.0,1.0,3.0,WHL
2018,Goalie,Youngstown Phantoms (USHL),6.0,0.0,0.0,6.0,USHL
2018,Forward,Lincoln Stars (USHL),7.0,2.0,,9.0,USHL
2018,Forward,Quebec Remparts (QMJHL),121.0,37.0,,158.0,QMJHL
2018,Goalie,Langnau Jr. (Swiss Jr.),6.0,0.0,0.0,6.0,NL
2018,Forward,Kitchener Rangers (OHL),7.0,2.0,,9.0,OHL
2018,Forward,Dinamo Minsk (Russia),130.0,76.0,,206.0,KHL
2018,Defence,Peterborough Petes (OHL),2.0,0.0,,2.0,OHL
2018,Goalie,Karpat (Finland),1.0,0.0,0.0,1.0,SM-liiga
2018,Defence,Charlottetown Islanders (QMJHL),2.0,0.0,,2.0,QMJHL
2018,Forward,Massachusetts (H-East),58.0,15.0,,73.0,NCAA
2018,Forward,Lincoln Stars (USHL),15.0,1.0,,16.0,USHL
2018,Forward,Edmonton Oil Kings (WHL),6.0,2.0,,8.0,WHL
2017,Forward,Halifax Mooseheads (QMJHL),300.0,206.0,,506.0,QMJHL
2017,Forward,Brandon Wheat Kings (WHL),222.0,77.0,,299.0,WHL
2017,Defence,HIFK (Finland),275.0,131.0,,406.0,SM-liiga
2017,Defence,Brooks (AJHL),178.0,180.0,,358.0,AJHL
2017,Forward,Timra IK (Sweden-2),245.0,221.0,,466.0,Allsvenskan
2017,Forward,Portland Winterhawks (WHL),74.0,23.0,,97.0,WHL
2017,Forward,HV71 (Sweden),109.0,17.0,,126.0,SHL
2017,Forward,Eden Priarie HS (High-MN),195.0,80.0,,275.0,High School
2017,Forward,Tri-City Americans (WHL),182.0,57.0,,239.0,WHL
2017,Forward,Mississauga Steelheads (OHL),115.0,40.0,,155.0,OHL
2017,Forward,Windsor Spitfires (OHL),89.0,37.0,,126.0,OHL
2017,Forward,HC Kometa Brno (Czech),203.0,119.0,,322.0,Tipsport Extraliga
2017,Forward,Owen Sound Attack (OHL),209.0,143.0,,352.0,OHL
2017,Defence,Kelowna Rockets (WHL),91.0,12.0,,103.0,WHL
2017,Defence,HV71 (Sweden),116.0,31.0,,147.0,SHL
2017,Defence,Tri-City Americans (WHL),82.0,16.0,,98.0,WHL
2017,Defence,Rogle BK (Sweden),74.0,24.0,,98.0,SHL
2017,Defence,JYP (Finland),45.0,8.0,,53.0,SM-liiga
2017,Forward,USNDT (USA),125.0,90.0,,215.0,USDP
2017,Forward,London Knights (OHL),241.0,164.0,,405.0,OHL
2017,Forward,HC Ziln (Czech),253.0,93.0,,346.0,Tipsport Extraliga
2017,Forward,Spokane Chiefs (WHL),186.0,93.0,,279.0,WHL
2017,Defence,Charlottetown Islanders (QMJHL),20.0,5.0,,25.0,QMJHL
2017,Forward,Frolunda HC (Sweden),70.0,5.0,,75.0,SHL
2017,Forward,St. Cloud State (NCHC),85.0,22.0,,107.0,NCAA
2017,Goalie,Boston University (H-East),77.0,3.0,41.0,80.0,NCAA
2017,Forward,Soo Greyhounds (OHL),77.0,23.0,,100.0,OHL
2017,Defence,Portland Winterhawks (WHL),213.0,54.0,,267.0,WHL
2017,Forward,Sioux City Musketeers (USHL),122.0,47.0,,169.0,USHL
2017,Forward,Dynamo Moskva (Russia),46.0,11.0,,57.0,KHL
2017,Defence,Soo Greyhounds (OHL),39.0,7.0,,46.0,OHL
2017,Forward,Kelowna Rockets (WHL),30.0,8.0,,38.0,WHL
2017,Defence,Mississauga Steelheads (OHL),142.0,42.0,,184.0,OHL
2017,Forward,Guelph Storm (OHL),10.0,4.0,,14.0,OHL
2017,Forward,Brynas IF (Sweden),119.0,34.0,,153.0,SHL
2017,Defence,Almtuna IS (Sweden-2),92.0,17.0,,109.0,Allsvenskan
2017,Forward,Kingston Frontenacs (OHL),128.0,125.0,,253.0,OHL
2017,Forward,Swift Current Broncos (WHL),15.0,3.0,,18.0,WHL
2017,Forward,Spokane Chiefs (WHL),50.0,12.0,,62.0,WHL
2017,Forward,KalPa (Finland),130.0,35.0,,165.0,SM-liiga
2017,Defence,Hermantown HS (High-MN),15.0,5.0,,20.0,High School
2017,Forward,Grenoble (France),123.0,49.0,,172.0,
2017,Defence,Sport (Finland),21.0,5.0,,26.0,SM-liiga
2017,Forward,London Knights (OHL),109.0,39.0,,148.0,OHL
2017,Forward,SKA Neva St. Petersburg (Russia-2),46.0,14.0,,60.0,VHL
2017,Defence,Des Moines Buccaneers (USHL),180.0,42.0,,222.0,USHL
2017,Forward,Victoriaville Tigres (QMJHL),146.0,67.0,,213.0,QMJHL
2017,Forward,Oshawa Generals (OHL),37.0,7.0,,44.0,OHL
2017,Goalie,HPK Jr. (Finland Jr.),13.0,0.0,3.0,13.0,SM-liiga
2017,Forward,Owen Sound Attack (OHL),44.0,3.0,,47.0,OHL
2017,Defence,Spruce Grove (AJHL),47.0,8.0,,55.0,AJHL
2017,Forward,Regina Pats (WHL),41.0,6.0,,47.0,WHL
2017,Forward,Farjestad BK Jr. (Sweden Jr.),14.0,8.0,,22.0,J20 Nationell
2017,Goalie,Windsor Spitfires (OHL),3.0,0.0,0.0,3.0,OHL
2017,Forward,Vaxjo Lakers HC Jr. (Sweden Jr.),30.0,6.0,,36.0,J20 Nationell
2017,Forward,Tri-City Americans (WHL),111.0,35.0,,146.0,WHL
2017,Forward,Hamilton Bulldogs (OHL),60.0,14.0,,74.0,OHL
2017,Defence,Merrimack (H-East),4.0,0.0,,4.0,NCAA
2017,Goalie,Lethbridge Hurricanes (WHL),14.0,0.0,7.0,14.0,WHL
2017,Defence,Proctor Academy (High-NH),1.0,1.0,,2.0,High School
2017,Defence,Guelph Storm (OHL),1.0,0.0,,1.0,OHL
2017,Goalie,Tolpar Ufa (Russia Jr.),4.0,0.0,0.0,4.0,MHL
2017,Defence,Kootenay Ice (WHL),50.0,1.0,,51.0,WHL
2017,Defence,USNDT (USA),2.0,0.0,,2.0,USDP
2017,Defence,Dexter Southfield School (High-MA),17.0,3.0,,20.0,High School
2017,Forward,Medicine Hat Tigers (WHL),3.0,0.0,,3.0,WHL
2017,Defence,Providence (H-East),111.0,19.0,,130.0,NCAA
2017,Forward,USNDT (USA),35.0,9.0,,44.0,USDP
2017,Defence,Waterloo Black Hawks (USHL),117.0,20.0,,137.0,USHL
2017,Forward,Owen Sound Attack (OHL),2.0,0.0,,2.0,OHL
2017,Forward,Sarnia Sting (OHL),31.0,11.0,,42.0,OHL
2017,Goalie,Sioux Falls Stampede (USHL),51.0,0.0,30.0,51.0,USHL
2017,Forward,HK MVD Balashikha (Russia Jr.),28.0,2.0,,30.0,MHL
2017,Forward,Leksands IF Jr. (Sweden Jr.),117.0,36.0,,153.0,J20 Nationell
2017,Forward,Cape Breton Screaming Eagles (QMJHL),145.0,97.0,,242.0,QMJHL
2017,Goalie,HC Davos (Swiss),2.0,0.0,0.0,2.0,NL
2017,Forward,Frolunda HC Jr. (Sweden Jr.),65.0,17.0,,82.0,J20 Nationell
2017,Forward,Stillwater HS (High-MN),16.0,9.0,,25.0,High School
2017,Forward,Sarnia Sting (OHL),1.0,0.0,,1.0,OHL
2017,Defence,Skelleftea AIK (Sweden),61.0,18.0,,79.0,SHL
2017,Forward,Hamilton Bulldogs (OHL),41.0,6.0,,47.0,OHL
2017,Defence,HC Olomuc (Czech),6.0,0.0,,6.0,Tipsport Extraliga
2017,Forward,Djurgardens IF (Sweden),6.0,1.0,,7.0,SHL
2017,Forward,St. Andrew's College (High-ON),32.0,6.0,,38.0,High School
2017,Forward,Miami (Ohio) (NCHC),13.0,3.0,,16.0,NCAA
2017,Forward,Ottawa 67's (OHL),24.0,10.0,,34.0,OHL
2017,Forward,Niagara IceDogs (OHL),2.0,0.0,,2.0,OHL
2017,Goalie,Kamloops Blazers (WHL),1.0,0.0,0.0,1.0,WHL
2017,Defence,Bloomington Thunder (USHL),26.0,9.0,,35.0,USHL
2017,Goalie,Lincoln Stars (USHL),18.0,0.0,3.0,18.0,USHL
2017,Forward,Baie-Comeau Drakkar (QMJHL),4.0,1.0,,5.0,QMJHL
2016,Forward,ZSC Lions (Swiss),407.0,457.0,,864.0,NL
2016,Forward,Tappara (Finland),407.0,327.0,,734.0,SM-liiga
2016,Forward,Cape Breton Screaming Eagles (QMJHL),361.0,239.0,,600.0,QMJHL
2016,Forward,Karpat (Finland),259.0,98.0,,357.0,SM-liiga
2016,Defence,London Knights (OHL),41.0,3.0,,44.0,OHL
2016,Forward,London Knights (OHL),431.0,382.0,,813.0,OHL
2016,Forward,USNDT (USA),360.0,256.0,,616.0,USDP
2016,Forward,Mississauga Steelheads (OHL),84.0,32.0,,116.0,OHL
2016,Defence,Windsor Spitfires (OHL),362.0,174.0,,536.0,OHL
2016,Forward,Pentiction (BCHL),342.0,109.0,,451.0,BCHL
2016,Forward,Windsor Spitfires (OHL),69.0,20.0,,89.0,OHL
2016,Forward,Mississauga Steelheads (OHL),162.0,40.0,,202.0,OHL
2016,Defence,Calgary Hitmen (WHL),111.0,37.0,,148.0,WHL
2016,Defence,Boston University (H-East),313.0,178.0,,491.0,NCAA
2016,Forward,Wisconsin (Big Ten),251.0,93.0,,344.0,NCAA
2016,Defence,Sarnia Sting (OHL),337.0,142.0,,479.0,OHL
2016,Defence,Pentiction (BCHL),174.0,48.0,,222.0,BCHL
2016,Defence,Windsor Spitfires (OHL),95.0,17.0,,112.0,OHL
2016,Forward,USNDT (USA),67.0,25.0,,92.0,USDP
2016,Defence,Chilliwack (BCHL),115.0,30.0,,145.0,BCHL
2016,Forward,Val-d'Or Foreurs (QMJHL),96.0,18.0,,114.0,QMJHL
2016,Forward,Team Russia Jr. (Russia Jr.),4.0,0.0,,4.0,MHL
2016,Forward,HIFK Jr. (Finland Jr.),110.0,26.0,,136.0,SM-liiga
2016,Forward,London Knights (OHL),137.0,28.0,,165.0,OHL
2016,Forward,Blaine HS (High-MN),10.0,1.0,,11.0,High School
2016,Forward,Connecticut (H-East),223.0,103.0,,326.0,NCAA
2016,Forward,Moose Jaw Warriors (WHL),225.0,69.0,,294.0,WHL
2016,Defence,Kelowna Rockets (WHL),1.0,1.0,,2.0,WHL
2016,Forward,USNDT (USA),119.0,23.0,,142.0,USDP
2016,Forward,Regina Pats (WHL),197.0,65.0,,262.0,WHL
2016,Forward,Lokomotiv Yaroslavl (Russia),1.0,1.0,,2.0,KHL
2016,Forward,Vancouver Giants (WHL),36.0,3.0,,39.0,WHL
2016,Forward,Farjestad BK (Sweden),137.0,41.0,,178.0,SHL
2016,Defence,Green Bay Gamblers (USHL),115.0,21.0,,136.0,USHL
2016,Forward,Sarnia Sting (OHL),173.0,122.0,,295.0,OHL
2016,Defence,Saskatoon Blades (WHL),94.0,11.0,,105.0,WHL
2016,Forward,Erie Otters (OHL),368.0,307.0,,675.0,OHL
2016,Forward,Mississauga Steelheads (OHL),120.0,31.0,,151.0,OHL
2016,Forward,Timra IK (Sweden-2),61.0,22.0,,83.0,Allsvenskan
2016,Forward,Karpat Jr. (Finland Jr.),119.0,42.0,,161.0,SM-liiga
2016,Forward,Soo Greyhounds (OHL),59.0,7.0,,66.0,OHL
2016,Forward,Guelph Storm (OHL),83.0,14.0,,97.0,OHL
2016,Defence,Shawinigan Cataractes (QMJHL),340.0,144.0,,484.0,QMJHL
2016,Goalie,Everett Silvertips (WHL),146.0,1.0,62.0,147.0,WHL
2016,Defence,USNDT (USA),194.0,45.0,,239.0,USDP
2016,Defence,Brandon Wheat Kings (WHL),58.0,16.0,,74.0,WHL
2016,Forward,Tri-City Storm (USHL),15.0,7.0,,22.0,USHL
2016,Defence,Mountfield HK (Czech),245.0,118.0,,363.0,Tipsport Extraliga
2016,Goalie,Lulea HF Jr. (Sweden Jr.),27.0,0.0,10.0,27.0,J20 Nationell
2016,Forward,Kelowna Rockets (WHL),200.0,75.0,,275.0,WHL
2016,Forward,MODO Hockey (Sweden),129.0,36.0,,165.0,SHL
2016,Forward,Erie Otters (OHL),74.0,22.0,,96.0,OHL
2016,Forward,Denver (NCHC),173.0,30.0,,203.0,NCAA
2016,Forward,Blues Jr. (Finland Jr.),6.0,1.0,,7.0,SM-liiga
2016,Goalie,USNDT (USA),4.0,0.0,3.0,4.0,USDP
2016,Defence,Saginaw Spirit (OHL),20.0,1.0,,21.0,OHL
2016,Forward,USNDT (USA),15.0,0.0,,15.0,USDP
2016,Forward,Gatineau Olympiques (QMJHL),5.0,1.0,,6.0,QMJHL
2016,Defence,USNDT (USA),203.0,163.0,,366.0,USDP
2016,Defence,North Bay Battalion (OHL),34.0,7.0,,41.0,OHL
2016,Forward,USNDT (USA),58.0,13.0,,71.0,USDP
2016,Goalie,Janesville Jets (NAHL),2.0,0.0,0.0,2.0,NAHL
2016,Forward,Muskegon Lumberjacks (USHL),77.0,39.0,,116.0,USHL
2016,Defence,Chicoutimi Sagueneens (QMJHL),1.0,0.0,,1.0,QMJHL
2016,Forward,Shawinigan Cataractes (QMJHL),1.0,0.0,,1.0,QMJHL
2016,Defence,Mississauga Steelheads (OHL),2.0,0.0,,2.0,OHL
2016,Forward,Calgary Hitmen (WHL),22.0,1.0,,23.0,WHL
2016,Defence,Red Deer Rebels (WHL),79.0,20.0,,99.0,WHL
2016,Defence,Boston College (H-East),36.0,6.0,,42.0,NCAA
2016,Forward,Kamloops Blazers (WHL),3.0,1.0,,4.0,WHL
2016,Goalie,Kamloops Blazers (WHL),3.0,0.0,1.0,3.0,WHL
2016,Forward,AIK Jr. (Sweden Jr.),3.0,1.0,,4.0,J20 Nationell
2016,Forward,Regina Pats (WHL),43.0,11.0,,54.0,WHL
2016,Defence,TPS Jr. (Finland Jr.),4.0,1.0,,5.0,SM-liiga
2016,Forward,Carleton Place (CCHL),21.0,6.0,,27.0,
2016,Defence,London Knights (OHL),236.0,43.0,,279.0,OHL
2016,Defence,Saginaw Spirit (OHL),3.0,0.0,,3.0,OHL
2016,Forward,Team Russia Jr. (Russia Jr.),51.0,9.0,,60.0,MHL
2016,Forward,Tri-City Storm (USHL),80.0,17.0,,97.0,USHL
2016,Forward,Kitchener Rangers (OHL),54.0,3.0,,57.0,OHL
2016,Defence,Brynas IF (Sweden),58.0,11.0,,69.0,SHL
2016,Forward,Moose Jaw Warriors (WHL),121.0,34.0,,155.0,WHL
2016,Defence,HV71 Jr. (Sweden Jr.),19.0,2.0,,21.0,J20 Nationell
2016,Defence,Oshawa Generals (OHL),108.0,18.0,,126.0,OHL
2016,Forward,North Dakota (NCHC),40.0,2.0,,42.0,NCAA
2016,Forward,Cedar Rapids RoughRiders (USHL),109.0,51.0,,160.0,USHL
2016,Forward,Ilves Jr. (Finland Jr.),20.0,2.0,,22.0,SM-liiga
2016,Goalie,Farjestad BK Jr. (Sweden Jr.),2.0,0.0,1.0,2.0,J20 Nationell
2016,Defence,Swift Current Broncos (WHL),67.0,15.0,,82.0,WHL
2016,Defence,Vaxjo Lakers HC Jr. (Sweden Jr.),5.0,2.0,,7.0,J20 Nationell
2016,Forward,Soo Greyhounds (OHL),16.0,1.0,,17.0,OHL
2016,Forward,St. Cloud State (NCHC),1.0,0.0,,1.0,NCAA
2016,Forward,Calgary Hitmen (WHL),15.0,1.0,,16.0,WHL
2016,Forward,Flint Firebirds (OHL),36.0,3.0,,39.0,OHL
2016,Forward,Djurgardens IF Jr. (Sweden Jr.),23.0,4.0,,27.0,J20 Nationell
2016,Forward,Red Deer Rebels (WHL),130.0,68.0,,198.0,WHL
2016,Forward,Sudbury Wolves (OHL),51.0,11.0,,62.0,OHL
2016,Forward,AIK (Sweden-2),307.0,203.0,,510.0,Allsvenskan
2016,Forward,Farjestad BK Jr. (Sweden Jr.),23.0,6.0,,29.0,J20 Nationell
2016,Forward,Victoria Royals (WHL),1.0,0.0,,1.0,WHL
2016,Forward,Lincoln Stars (USHL),6.0,0.0,,6.0,USHL
2016,Defence,Denver (NCHC),4.0,1.0,,5.0,NCAA
2016,Forward,CSKA Moskva (Russia),73.0,18.0,,91.0,KHL
2016,Forward,Kelowna Rockets (WHL),3.0,0.0,,3.0,WHL
2016,Defence,Bloomington Thunder (USHL),22.0,3.0,,25.0,USHL
2016,Forward,Malmo Jr. (Sweden Jr.),8.0,1.0,,9.0,J20 Nationell
2015,Forward,Erie Otters (OHL),487.0,697.0,,1184.0,OHL
2015,Forward,Boston University (H-East),409.0,380.0,,789.0,NCAA
2015,Forward,Erie Otters (OHL),273.0,170.0,,443.0,OHL
2015,Forward,London Knights (OHL),427.0,455.0,,882.0,OHL
2015,Defence,Boston College (H-East),517.0,201.0,,718.0,NCAA
2015,Forward,Sarnia Sting (OHL),386.0,179.0,,565.0,OHL
2015,Defence,Brandon Wheat Kings (WHL),450.0,190.0,,640.0,WHL
