Year,Position,Amateur Team,Games,Points,Goalie Wins,Score,Amateur League
2021,Defence,Michigan (Big Ten),8.0,3.0,,11.0,NCAA
2021,Forward,Michigan (Big Ten),10.0,9.0,,19.0,NCAA
2021,Forward,Peterborough Petes (OHL),9.0,3.0,,12.0,OHL
2021,Forward,Michigan (Big Ten),9.0,3.0,,12.0,NCAA
2021,Forward,Djurgardens IF (Sweden),9.0,4.0,,13.0,SHL
2021,Forward,Sioux Falls Stampede (USHL),79.0,31.0,,110.0,USHL
2021,Defence,EHC Biel-Bienne (Swiss),43.0,15.0,,58.0,NL
2020,Forward,Rimouski Oceanic (QMJHL),135.0,52.0,,187.0,QMJHL
2020,Forward,Sudbury Wolves (OHL),46.0,11.0,,57.0,OHL
2020,Forward,Adler Mannheim (Germany),132.0,87.0,,219.0,DEL
2020,Forward,Frolunda HC (Sweden),82.0,57.0,,139.0,SHL
2020,Defence,Erie Otters (OHL),105.0,40.0,,145.0,OHL
2020,Forward,Djurgardens IF (Sweden),9.0,2.0,,11.0,SHL
2020,Forward,Ottawa 67's (OHL),2.0,2.0,,4.0,OHL
2020,Forward,Ottawa 67's (OHL),2.0,0.0,,2.0,OHL
2020,Forward,Saginaw Spirit (OHL),18.0,7.0,,25.0,OHL
2020,Forward,HIFK (Finland),65.0,44.0,,109.0,SM-liiga
2020,Forward,Portland Winterhawks (WHL),68.0,40.0,,108.0,WHL
2020,Forward,Eisbaren Berlin (Germany),11.0,1.0,,12.0,DEL
2020,Forward,Chicoutimi Sagueneens (QMJHL),82.0,42.0,,124.0,QMJHL
2020,Defence,Brandon Wheat Kings (WHL),43.0,11.0,,54.0,WHL
2020,Forward,Omskie Yastreby (Russia Jr.),62.0,14.0,,76.0,MHL
2020,Forward,Chicoutimi Sagueneens (QMJHL),6.0,1.0,,7.0,QMJHL
2020,Defence,Halifax Mooseheads (QMJHL),7.0,2.0,,9.0,QMJHL
2020,Forward,Edmonton Oil Kings (WHL),9.0,2.0,,11.0,WHL
2020,Forward,Sarnia Sting (OHL),1.0,0.0,,1.0,OHL
2020,Forward,EHC Munchen (Germany),2.0,0.0,,2.0,DEL
2020,Forward,USNDT (USA),8.0,5.0,,13.0,USDP
2020,Goalie,Guelph Storm (OHL),25.0,0.0,10.0,25.0,OHL
2020,Defence,Sudbury Wolves (OHL),4.0,0.0,,4.0,OHL
2020,Forward,Brandon Wheat Kings (WHL),1.0,0.0,,1.0,WHL
2020,Forward,Rimouski Oceanic (QMJHL),5.0,0.0,,5.0,QMJHL
2019,Forward,USNDT (USA),166.0,108.0,,274.0,USDP
2019,Forward,TPS (Finland),157.0,58.0,,215.0,SM-liiga
2019,Forward,Saskatoon Blades (WHL),152.0,59.0,,211.0,WHL
2019,Defence,Vancouver Giants (WHL),49.0,19.0,,68.0,WHL
2019,Forward,USNDT (USA),8.0,0.0,,8.0,USDP
2019,Defence,Adler Mannheim (Germany),82.0,50.0,,132.0,DEL
2019,Forward,Lethbridge Hurricanes (WHL),120.0,51.0,,171.0,WHL
2019,Defence,AIK (Sweden-2),23.0,3.0,,26.0,Allsvenskan
2019,Forward,USNDT (USA),99.0,74.0,,173.0,USDP
2019,Forward,SKA Neva St. Petersburg (Russia-2),79.0,26.0,,105.0,VHL
2019,Defence,Brynas IF (Sweden),20.0,2.0,,22.0,SHL
2019,Forward,USNDT (USA),47.0,39.0,,86.0,USDP
2019,Goalie,USNDT (USA),36.0,0.0,23.0,36.0,USDP
2019,Defence,USNDT (USA),33.0,10.0,,43.0,USDP
2019,Forward,USNDT (USA),77.0,48.0,,125.0,USDP
2019,Forward,Victoria (BCHL),77.0,36.0,,113.0,BCHL
2019,Forward,Kootenay Ice (WHL),61.0,23.0,,84.0,WHL
2019,Defence,Mississauga Steelheads (OHL),34.0,4.0,,38.0,OHL
2019,Defence,Kelowna Rockets (WHL),16.0,5.0,,21.0,WHL
2019,Defence,Lukko (Finland),25.0,10.0,,35.0,SM-liiga
2019,Defence,Djurgardens IF Jr. (Sweden Jr.),106.0,14.0,,120.0,J20 Nationell
2019,Forward,Niagara IceDogs (OHL),76.0,32.0,,108.0,OHL
2019,Forward,London Knights (OHL),69.0,18.0,,87.0,OHL
2019,Forward,Kelowna Rockets (WHL),13.0,6.0,,19.0,WHL
2019,Forward,Moose Jaw Warriors (WHL),1.0,0.0,,1.0,WHL
2019,Forward,Tri-City Storm (USHL),17.0,8.0,,25.0,USHL
2019,Forward,Hamilton Bulldogs (OHL),81.0,28.0,,109.0,OHL
2019,Forward,Sioux City Musketeers (USHL),10.0,4.0,,14.0,USHL
2019,Goalie,HK Ryazan (Russia-2),3.0,0.0,3.0,3.0,VHL
2019,Goalie,Medicine Hat Tigers (WHL),2.0,0.0,1.0,2.0,WHL
2019,Forward,Rogle BK (Sweden),116.0,45.0,,161.0,SHL
2019,Defence,Kelowna Rockets (WHL),1.0,0.0,,1.0,WHL
2019,Defence,USNDT (USA),15.0,2.0,,17.0,USDP
2019,Defence,Chicoutimi Sagueneens (QMJHL),1.0,0.0,,1.0,QMJHL
2019,Forward,Frolunda HC (Sweden),4.0,0.0,,4.0,SHL
2019,Defence,Flint Firebirds (OHL),32.0,3.0,,35.0,OHL
2019,Forward,Peterborough Petes (OHL),16.0,2.0,,18.0,OHL
2019,Forward,Prince Albert Raiders (WHL),36.0,6.0,,42.0,WHL
2019,Defence,Ottawa 67's (OHL),5.0,2.0,,7.0,OHL
2019,Defence,MODO Hockey Jr. (Sweden Jr.),6.0,1.0,,7.0,J20 Nationell
2019,Defence,Tri-City Storm (USHL),22.0,6.0,,28.0,USHL
